t = 0.06 , x = 1.95, u = 0.152562
t = 0.06 , x = 2, u = 0.182587
t = 0.06 , x = 2.05, u = 0.214792
t = 0.06 , x = 2.1, u = 0.248373
t = 0.06 , x = 2.15, u = 0.282318
t = 0.06 , x = 2.2, u = 0.315448
t = 0.06 , x = 2.25, u = 0.346484
t = 0.06 , x = 2.3, u = 0.374124
t = 0.06 , x = 2.35, u = 0.397128
t = 0.06 , x = 2.4, u = 0.414416
t = 0.06 , x = 2.45, u = 0.425146
t = 0.06 , x = 2.5, u = 0.428783
t = 0.06 , x = 2.55, u = 0.425146
t = 0.06 , x = 2.6, u = 0.414416
t = 0.06 , x = 2.65, u = 0.397128
t = 0.06 , x = 2.7, u = 0.374124
t = 0.06 , x = 2.75, u = 0.346484
t = 0.06 , x = 2.8, u = 0.315448
t = 0.06 , x = 2.85, u = 0.282318
t = 0.06 , x = 2.9, u = 0.248373
t = 0.06 , x = 2.95, u = 0.214792
t = 0.06 , x = 3, u = 0.182587
t = 0.06 , x = 3.05, u = 0.152562
t = 0.06 , x = 3.1, u = 0.125297
t = 0.06 , x = 3.15, u = 0.101145
t = 0.06 , x = 3.2, u = 0.0802515
t = 0.06 , x = 3.25, u = 0.0625831
t = 0.06 , x = 3.3, u = 0.0479681
t = 0.06 , x = 3.35, u = 0.0361355
t = 0.06 , x = 3.4, u = 0.0267547
t = 0.06 , x = 3.45, u = 0.0194692
t = 0.06 , x = 3.5, u = 0.0139243
t = 0.06 , x = 3.55, u = 0.00978762
t = 0.06 , x = 3.6, u = 0.00676172
t = 0.06 , x = 3.65, u = 0.00459106
t = 0.06 , x = 3.7, u = 0.00306369
t = 0.06 , x = 3.75, u = 0.00200933
t = 0.06 , x = 3.8, u = 0.00129518
t = 0.06 , x = 3.85, u = 0.000820509
t = 0.06 , x = 3.9, u = 0.000510869
t = 0.06 , x = 3.95, u = 0.000312613
t = 0.06 , x = 4, u = 0.000188008
t = 0.06 , x = 4.05, u = 0.000111126
t = 0.06 , x = 4.1, u = 6.45542e-05
t = 0.06 , x = 4.15, u = 3.68553e-05
t = 0.06 , x = 4.2, u = 2.06796e-05
t = 0.06 , x = 4.25, u = 1.14038e-05
t = 0.06 , x = 4.3, u = 6.1804e-06
t = 0.06 , x = 4.35, u = 3.2919e-06
t = 0.06 , x = 4.4, u = 1.7232e-06
t = 0.06 , x = 4.45, u = 8.86503e-07
t = 0.06 , x = 4.5, u = 4.48208e-07
t = 0.06 , x = 4.55, u = 2.22706e-07
t = 0.06 , x = 4.6, u = 1.08751e-07
t = 0.06 , x = 4.65, u = 5.21895e-08
t = 0.06 , x = 4.7, u = 2.46143e-08
t = 0.06 , x = 4.75, u = 1.141e-08
t = 0.06 , x = 4.8, u = 5.2013e-09
t = 0.06 , x = 4.85, u = 2.33888e-09
t = 0.06 , x = 4.9, u = 1.05532e-09
t = 0.06 , x = 4.95, u = 5.2073e-10
t = 0.08 , x = 0, u = 3.65172e-08
t = 0.08 , x = 0.05, u = 4.48892e-08
t = 0.08 , x = 0.1, u = 7.33333e-08
t = 0.08 , x = 0.15, u = 1.32943e-07
t = 0.08 , x = 0.2, u = 2.46195e-07
t = 0.08 , x = 0.25, u = 4.54004e-07
t = 0.08 , x = 0.3, u = 8.27948e-07
t = 0.08 , x = 0.35, u = 1.49047e-06
t = 0.08 , x = 0.4, u = 2.64737e-06
t = 0.08 , x = 0.45, u = 4.63903e-06
t = 0.08 , x = 0.5, u = 8.01951e-06
t = 0.08 , x = 0.55, u = 1.36765e-05
t = 0.08 , x = 0.6, u = 2.30093e-05
t = 0.08 , x = 0.65, u = 3.81889e-05
t = 0.08 , x = 0.7, u = 6.25284e-05
t = 0.08 , x = 0.75, u = 0.000101
t = 0.08 , x = 0.8, u = 0.000160943
t = 0.08 , x = 0.85, u = 0.000253004
t = 0.08 , x = 0.9, u = 0.000392364
t = 0.08 , x = 0.95, u = 0.000600282
t = 0.08 , x = 1, u = 0.000906
t = 0.08 , x = 1.05, u = 0.00134898
t = 0.08 , x = 1.1, u = 0.00198147
t = 0.08 , x = 1.15, u = 0.00287128
t = 0.08 , x = 1.2, u = 0.00410458
t = 0.08 , x = 1.25, u = 0.00578848
t = 0.08 , x = 1.3, u = 0.00805314
t = 0.08 , x = 1.35, u = 0.0110527
t = 0.08 , x = 1.4, u = 0.0149651
t = 0.08 , x = 1.45, u = 0.019989
t = 0.08 , x = 1.5, u = 0.0263397
t = 0.08 , x = 1.55, u = 0.0342401
t = 0.08 , x = 1.6, u = 0.0439104
t = 0.08 , x = 1.65, u = 0.0555532
t = 0.08 , x = 1.7, u = 0.069337
t = 0.08 , x = 1.75, u = 0.0853761
t = 0.08 , x = 1.8, u = 0.103712
t = 0.08 , x = 1.85, u = 0.124293
t = 0.08 , x = 1.9, u = 0.14696
t = 0.08 , x = 1.95, u = 0.17143
t = 0.08 , x = 2, u = 0.197298
t = 0.08 , x = 2.05, u = 0.224032
t = 0.08 , x = 2.1, u = 0.250992
t = 0.08 , x = 2.15, u = 0.277446
t = 0.08 , x = 2.2, u = 0.302605
t = 0.08 , x = 2.25, u = 0.325655
t = 0.08 , x = 2.3, u = 0.345807
t = 0.08 , x = 2.35, u = 0.362332
t = 0.08 , x = 2.4, u = 0.374614
t = 0.08 , x = 2.45, u = 0.382181
t = 0.08 , x = 2.5, u = 0.384737
t = 0.08 , x = 2.55, u = 0.382181
t = 0.08 , x = 2.6, u = 0.374614
t = 0.08 , x = 2.65, u = 0.362332
t = 0.08 , x = 2.7, u = 0.345807
t = 0.08 , x = 2.75, u = 0.325655
t = 0.08 , x = 2.8, u = 0.302605
t = 0.08 , x = 2.85, u = 0.277446
t = 0.08 , x = 2.9, u = 0.250992
t = 0.08 , x = 2.95, u = 0.224032
t = 0.08 , x = 3, u = 0.197298
t = 0.08 , x = 3.05, u = 0.17143
t = 0.08 , x = 3.1, u = 0.14696
t = 0.08 , x = 3.15, u = 0.124293
t = 0.08 , x = 3.2, u = 0.103712
t = 0.08 , x = 3.25, u = 0.0853761
t = 0.08 , x = 3.3, u = 0.069337
t = 0.08 , x = 3.35, u = 0.0555532
t = 0.08 , x = 3.4, u = 0.0439104
t = 0.08 , x = 3.45, u = 0.0342401
t = 0.08 , x = 3.5, u = 0.0263397
t = 0.08 , x = 3.55, u = 0.019989
t = 0.08 , x = 3.6, u = 0.0149651
t = 0.08 , x = 3.65, u = 0.0110527
t = 0.08 , x = 3.7, u = 0.00805314
t = 0.08 , x = 3.75, u = 0.00578848
t = 0.08 , x = 3.8, u = 0.00410458
t = 0.08 , x = 3.85, u = 0.00287128
t = 0.08 , x = 3.9, u = 0.00198147
t = 0.08 , x = 3.95, u = 0.00134898
t = 0.08 , x = 4, u = 0.000906
t = 0.08 , x = 4.05, u = 0.000600282
t = 0.08 , x = 4.1, u = 0.000392364
t = 0.08 , x = 4.15, u = 0.000253004
t = 0.08 , x = 4.2, u = 0.000160943
t = 0.08 , x = 4.25, u = 0.000101
t = 0.08 , x = 4.3, u = 6.25284e-05
t = 0.08 , x = 4.35, u = 3.81889e-05
t = 0.08 , x = 4.4, u = 2.30093e-05
t = 0.08 , x = 4.45, u = 1.36765e-05
